Attribute,Time stamp,w,x,y,z 
Quaternion,321205,0.864634096622467,0.04401644691824913,-0.0015469100326299667,-0.5004679560661316
Quaternion,321210,0.8682130575180054,0.04333384335041046,-0.0013486174866557121,-0.49429383873939514
Quaternion,321215,0.8716474175453186,0.04279714822769165,-0.0012302147224545479,-0.4882599115371704
Quaternion,321220,0.8749071359634399,0.04206490144133568,-0.0012306580320000648,-0.4824588894844055
Quaternion,321225,0.877985954284668,0.041043803095817566,-0.0013245940208435059,-0.47692185640335083
Quaternion,321231,0.8808708190917969,0.039643071591854095,-0.00157061405479908,-0.47169116139411926
Quaternion,321235,0.8835669755935669,0.03798375651240349,-0.001916498877108097,-0.46675804257392883
Quaternion,321241,0.8860709071159363,0.036175280809402466,-0.002224610187113285,-0.46213075518608093
Quaternion,321245,0.8883947730064392,0.03423822298645973,-0.0025295624509453773,-0.4577948749065399
Quaternion,321250,0.8905803561210632,0.03219976648688316,-0.00294464360922575,-0.45367515087127686
Quaternion,321255,0.8926681280136108,0.030116312205791473,-0.0034376922994852066,-0.4496942460536957
Quaternion,321260,0.8947123289108276,0.028083380311727524,-0.0039067817851901054,-0.4457421898841858
Quaternion,321265,0.8967651724815369,0.026174049824476242,-0.004300438798964024,-0.4417111277580261
Quaternion,321270,0.8988744020462036,0.024469416588544846,-0.004566689021885395,-0.43749886751174927
Quaternion,321275,0.9010634422302246,0.023024840280413628,-0.00467599555850029,-0.43305060267448425
Quaternion,321281,0.9033294320106506,0.021813206374645233,-0.004592118784785271,-0.4283679127693176
Quaternion,321285,0.9056513905525208,0.020722147077322006,-0.0043702153488993645,-0.42349380254745483
Quaternion,321290,0.9080100655555725,0.01965237595140934,-0.004128291271626949,-0.41846704483032227
Quaternion,321295,0.9103866815567017,0.018561745062470436,-0.0038424748927354813,-0.4133240580558777
Quaternion,321300,0.9127597808837891,0.017469938844442368,-0.003401394933462143,-0.40810880064964294
Quaternion,321305,0.9151238799095154,0.01622474007308483,-0.002902110107243061,-0.40283575654029846
Quaternion,321310,0.9174532294273376,0.01490013487637043,-0.0021957894787192345,-0.39755842089653015
Quaternion,321315,0.9197371602058411,0.013419074937701225,-0.001396365463733673,-0.3923027217388153
Quaternion,321320,0.9219560027122498,0.011738675646483898,-0.000511879101395607,-0.38711613416671753
Quaternion,321325,0.9241013526916504,0.009779753163456917,0.0004560239613056183,-0.38202208280563354
Quaternion,321331,0.9261683821678162,0.007512148469686508,0.0014229146763682365,-0.37703266739845276
Quaternion,321335,0.9281570315361023,0.004866880364716053,0.002251572906970978,-0.37215033173561096
Quaternion,321341,0.9300647377967834,0.0018180962651968002,0.002887173555791378,-0.36737996339797974
Quaternion,321345,0.9318882822990417,-0.0015953313559293747,0.00340062752366066,-0.3627261519432068
Quaternion,321350,0.9336226582527161,-0.005274692550301552,0.003849061205983162,-0.35819852352142334
Quaternion,321355,0.9352922439575195,-0.009107494726777077,0.004175908863544464,-0.3537346422672272
Quaternion,321360,0.9368934035301208,-0.012998471036553383,0.004282904788851738,-0.34934741258621216
Quaternion,321365,0.9384172558784485,-0.016863983124494553,0.004042440094053745,-0.34506872296333313
Quaternion,321370,0.9398638010025024,-0.020626600831747055,0.0034326761960983276,-0.3409090042114258
Quaternion,321375,0.9412403702735901,-0.024168863892555237,0.0025414619594812393,-0.33686211705207825
Quaternion,321381,0.9425700306892395,-0.02737215906381607,0.0014577629044651985,-0.33288195729255676
Quaternion,321385,0.9438827633857727,-0.030169792473316193,0.00024460814893245697,-0.3288997709751129
Quaternion,321390,0.9452078342437744,-0.03256163001060486,-0.0011027446016669273,-0.3248395025730133
Quaternion,321395,0.9465695023536682,-0.03458121046423912,-0.0025514625012874603,-0.32063040137290955
Quaternion,321400,0.9479829668998718,-0.03626282513141632,-0.004035469144582748,-0.3162229061126709
Quaternion,321405,0.9494509696960449,-0.03769555687904358,-0.005578678101301193,-0.3115938901901245
Quaternion,321410,0.9508037567138672,-0.0391598716378212,-0.0068949079141020775,-0.3072311580181122
Quaternion,321415,0.9519333243370056,-0.04056503251194954,-0.008097450248897076,-0.3034992218017578
Quaternion,321420,0.9528488516807556,-0.04190341755747795,-0.009929066523909569,-0.3003740906715393
Quaternion,321425,0.9535598158836365,-0.043194059282541275,-0.012344279326498508,-0.2978346049785614
Quaternion,321430,0.9540923833847046,-0.044433094561100006,-0.014840319752693176,-0.2958264648914337
Quaternion,321435,0.9544662237167358,-0.04568823426961899,-0.017254715785384178,-0.29429447650909424
Quaternion,321440,0.9547216892242432,-0.04697651416063309,-0.019503802061080933,-0.2931201159954071
Quaternion,321445,0.9548983573913574,-0.04827825725078583,-0.021527249366044998,-0.29218968749046326
Quaternion,321450,0.9550196528434753,-0.04974398761987686,-0.02336827665567398,-0.29140499234199524
Quaternion,321455,0.9551030397415161,-0.05119951069355011,-0.025119002908468246,-0.2907334268093109
Quaternion,321460,0.9551414251327515,-0.05282259359955788,-0.02717650681734085,-0.29013121128082275
Quaternion,321465,0.955120325088501,-0.05466780066490173,-0.029385605826973915,-0.28964293003082275
Quaternion,321470,0.9550293684005737,-0.05661323294043541,-0.0316416472196579,-0.2893313467502594
Quaternion,321475,0.9548556208610535,-0.05860491842031479,-0.033990632742643356,-0.2892417311668396
Quaternion,321480,0.9545897841453552,-0.060585543513298035,-0.03639331832528114,-0.28941914439201355
Quaternion,321485,0.9542252421379089,-0.06249510124325752,-0.03871649131178856,-0.28991302847862244
Quaternion,321490,0.9537597298622131,-0.06431207060813904,-0.04093948379158974,-0.29074108600616455
Quaternion,321495,0.9531924724578857,-0.06605447828769684,-0.043158918619155884,-0.2918875217437744
Quaternion,321500,0.9525302648544312,-0.06772161275148392,-0.04540934041142464,-0.2933220863342285
Quaternion,321505,0.9517948031425476,-0.06927701830863953,-0.04759645089507103,-0.2949947416782379
Quaternion,321510,0.9510080814361572,-0.07064671814441681,-0.049632854759693146,-0.2968655228614807
Quaternion,321515,0.9501941800117493,-0.07180453836917877,-0.051505573093891144,-0.29886844754219055
Quaternion,321520,0.94936603307724,-0.0728018507361412,-0.053330324590206146,-0.30093181133270264
Quaternion,321525,0.9485340118408203,-0.07365773618221283,-0.05514059588313103,-0.30301356315612793
Quaternion,321530,0.9477056860923767,-0.07438772171735764,-0.056915171444416046,-0.305091917514801
Quaternion,321535,0.9468913078308105,-0.07498209178447723,-0.05854865163564682,-0.3071589469909668
Quaternion,321540,0.946104109287262,-0.07538475096225739,-0.05999055877327919,-0.30920127034187317
Quaternion,321545,0.9453462362289429,-0.0756131038069725,-0.061323050409555435,-0.311195433139801
Quaternion,321550,0.944606602191925,-0.07573163509368896,-0.06262463331222534,-0.31314748525619507
Quaternion,321555,0.9438777565956116,-0.07579836994409561,-0.06389870494604111,-0.3150654137134552
Quaternion,321560,0.9431516528129578,-0.07582734525203705,-0.06515373289585114,-0.3169703185558319
Quaternion,321566,0.9424363970756531,-0.07579409331083298,-0.0663367211818695,-0.31885483860969543
Quaternion,321570,0.9417337775230408,-0.07566486299037933,-0.06744737178087234,-0.3207228183746338
Quaternion,321575,0.9410280585289001,-0.07550285756587982,-0.0686134397983551,-0.32257992029190063
Quaternion,321580,0.9402998685836792,-0.07538003474473953,-0.06991707533597946,-0.3244466185569763
Quaternion,321585,0.9395394325256348,-0.07531709969043732,-0.07128783315420151,-0.32636022567749023
Quaternion,321591,0.9387415647506714,-0.07526038587093353,-0.07264308631420135,-0.3283645212650299
Quaternion,321595,0.937893807888031,-0.0752016007900238,-0.07404669374227524,-0.33048000931739807
Quaternion,321600,0.9369815587997437,-0.07512123882770538,-0.07549737393856049,-0.3327498733997345
Quaternion,321605,0.9360053539276123,-0.07497459650039673,-0.0768781453371048,-0.33520519733428955
Quaternion,321610,0.9349644184112549,-0.07475390285253525,-0.0782141163945198,-0.33783993124961853
Quaternion,321616,0.933857262134552,-0.0745106190443039,-0.0795871913433075,-0.34062421321868896
Quaternion,321620,0.9326896667480469,-0.07427722215652466,-0.08098307251930237,-0.343532532453537
Quaternion,321625,0.9314762949943542,-0.07404043525457382,-0.0823541209101677,-0.3465368151664734
